codigo_ocorrencia4;recomendacao_numero;recomendacao_dia_assinatura;recomendacao_dia_encaminhamento;recomendacao_dia_feedback;recomendacao_conteudo;recomendacao_status;recomendacao_destinatario_sigla;recomendacao_destinatario
45400;IG-544/CENIPA/2015 - 04;2017-03-31;2017-04-24;2017-06-28;Orientar os controladores quanto à aplicação dos conceitos de CRM, a fim de evitar que estes sobrecarreguem os tripulantes com solicitações que podem não ser relevantes para uma determinada condição de emergência.;CUMPRIDA;DECEA;DEPARTAMENTO DE CONTROLE DE ESPAÇO AÉREO
45408;A-509/CENIPA/2021 - 01;2021-07-08;2021-08-04;2021-08-30;Divulgar os ensinamentos colhidos na presente investigação, no intuito de alertar pilotos e operadores da aviação agrícola brasileira sobre a importância de se conhecer e respeitar os limites de performance nas diferentes configurações das aeronaves operadas.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
45412;A - 059/CENIPA/2013 - RSV 001;2013-12-30;2014-02-12;2014-06-06;Divulgar o conteúdo do presente relatório durante a realização de seminários, palestras e atividades afins voltadas aos proprietários, operadores e exploradores de aeronaves agrícolas.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
45412;A - 059/CENIPA/2013 - RSV 002;2013-12-30;2014-02-12;2016-05-24;Desenvolver ações voltadas para as escolas de formação de pilotos aeroagrícolas, com ênfase para os fatores contribuintes para nesse acidente.;CUMPRIDA DE FORMA ALTERNATIVA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
45487;A-003/CENIPA/2013-RSV001;2013-10-21;2013-12-18;2014-07-28;Realizar auditoria na Empresa Norte Jet, a fim de verificar adequabilidade dos registros de manutenção praticados pela Empresa, bem como aspectos gerenciais e de supervisão.;CUMPRIDA DE FORMA ALTERNATIVA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
45487;A-003/CENIPA/2013-RSV002;2013-10-21;2013-12-18;2014-04-28;Realizar auditoria no Programa de Treinamento de Operações dos tripulantes da Empresa Norte Jet, a fim de verificar adequabilidade ao disposto na IAC 135-1002, Normas para Elaboração e Análise do Programa de Treinamento de Operações para Operadores de Transporte Aéreo, regidos pelo RBAC 135, enfatizando, no currículo de solo, o treinamento das diferenças entre as aeronaves previstas na Especificação Operativa da Empresa.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
45487;A-003/CENIPA/2013-RSV003;2013-10-21;2013-12-18;2014-02-27;Divulgar aos operadores regulados pelo RBAC 135 os ensinamentos colhidos nesta investigação.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
45490;A-058/CENIPA/2013-RSV001;2013-11-27;2013-12-17;2017-05-24;Intensificar a fiscalização nas atividades que ocorrem em SBJC, de modo a disciplinar a forma de contratação de pilotos freelancer junto aos proprietários, operadores e exploradores de aeronaves que operam a partir daquele aeródromo, com enfoque para um adequado processo de seleção e valorização da segurança de voo.;NÃO CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
45525;A-529/CENIPA/2017 - 01;2017-08-01;2017-08-01;NULL;Reavaliar a capacitação da Empresa VIMAER - Vidotti Manutenção de Aeronaves Ltda. em realizar a manutenção nas aeronaves modelo AT-401B (Air Tractor), com ênfase na utilização adequada de peças no motor da aeronave, em conformidade com as especificações do fabricante.;AGUARDANDO RESPOSTA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
45525;A-529/CENIPA/2017 - 02;2017-08-01;2017-08-01;NULL;Verificar o processo de aquisição, conferência, catalogação e instalação de peças aeronáuticas por parte da VIMAER - Vidotti Manutenção de Aeronaves Ltda., no intuito de assegurar a utilização de partes genuínas aprovadas pela agência reguladora e pelo fabricante da aeronave, a fim de se evitar a utilização de peças inadequadas nos sistemas das aeronaves.;AGUARDANDO RESPOSTA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
45528;A - 055/CENIPA/2013 - 001;2014-09-29;2014-12-15;2016-01-06;Realizar gestões junto à INFRAERO-BE, afim de que seja revisado o PLEM do Aeroporto Val de Cans (SBBE), visando à adequação dos procedimentos para o completo atendimento às emergências aeronáuticas na área da Baía do Guajará, levando em consideração o modelo de aeronave de maior porte com operação prevista para o aeródromo.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
45528;A - 055/CENIPA/2013 - 002;2014-09-29;2014-12-15;2015-01-23;Tendo em vista que a aeronave estava registrada na categoria de Serviços Aéreos Privados (TPP), e estava realizando o transporte de enfermo, sem que fosse homologada para o tipo de serviço, e que durante a investigação verificou-se que a aeronave havia sido comprada por particular e estaria sendo preparada para compor a frota da empresa Tail Táxi-Aéreo Ltda., realizar uma auditoria na respectiva empresa, com a finalidade de verificar a aderência aos regulamentos.;NÃO CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
45528;A - 055/CENIPA/2013 - 003;2014-09-29;2014-12-15;2015-06-07;Divulgar o conteúdo do presente relatório durante a realização de seminários, palestras e atividades afins voltadas aos proprietários, operadores e exploradores de aeronaves.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
45571;160/D/12;2012-06-20;2016-01-11;2016-07-15;Atuar junto ao GRAESP/PA que escale para compor tripulação, somente pessoal devidamente habilitado, ou seja, com as habilitações e certificados válidos.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
45571;161/D/12;2012-06-20;2016-01-11;2016-07-15;Atuar junto ao GRAESP/PA para que adote brifim de emergência aos ocupantes, antes da decolagem, alertando sobre o momento correto de abandonar a aeronave, de modo a evitar acidentes com a pá do rotor principal.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
45571;A-531CENIPA2015 - 01;2016-11-24;2016-12-14;2017-02-07;Realizar gestões junto a Helisul Táxi-Aéreo Ltda., a fim de que esta tome providencias para que todos os serviços de reparo nas pás de rotores não previstos nos manuais de manutenção do operador sejam efetuados pelo fabricante ou por oficina devidamente credenciada.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
45571;A-531CENIPA2015 - 02;2016-11-24;2016-12-14;2017-02-07;Realizar gestões junto a Helisul Táxi-Aéreo Ltda., a fim de que esta providencie meios para capacitar os mantenedores a avaliar e executar reparos em pás no nível previsto pelo fabricante para oficinas homologadas.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
45571;A-531CENIPA2015 - 03;2016-11-24;2016-12-14;2017-02-07;Realizar gestões junto a Helisul Táxi-Aéreo Ltda., a fim de que esta adeque a quantidade de mantenedores e inspetores na base Belém, de modo a atender a demanda dos serviços envolvendo as aeronaves em operação naquela base.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
45571;A-531CENIPA2015 - 04;2016-11-24;2016-12-14;2017-02-07;Realizar gestões junto ao GRAESP, a fim de que este elabore um programa de treinamento abrangente, abordando tópicos sobre a manutenção operacional dos tripulantes e instrutores de voo.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
45571;A-531CENIPA2015 - 05;2016-11-24;2016-12-14;2017-02-07;Realizar gestões junto ao GRAESP, a fim de que este elabore um programa sobre o controle técnico e execução de manutenção.;NÃO CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
45571;A-531CENIPA2015 - 06;2016-11-24;2016-12-14;2017-02-07;Realizar gestões junto ao GRAESP, a fim de que este elabore um Manual de Gerenciamento da Segurança Operacional (MGSO) com objetivo de divulgar os conceitos de Segurança Operacional (Segurança de Voo), e de orientar e monitorar as atividades do GRAESP, possibilitando a identificação das falhas ativas e das condições latentes, assim como o gerenciamento dos riscos inerentes à missão do Grupamento.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
45571;A-531CENIPA2015 - 07;2016-11-24;2016-12-14;2017-02-07;Realizar gestões junto ao GRAESP, a fim de que este adeque a quantidade de mantenedores e inspetores na base Belém, de modo a atender à demanda dos serviços envolvendo as aeronaves em operação.;NÃO CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
45573;A-626/CENIPA/2014 – 001;2015-05-15;2015-05-26;2015-08-11;Realizar uma auditoria no operador da aeronave, mais especificamente nos setores de manutenção e operações, com o objetivo de verificar se os procedimentos estabelecidos no Manual Geral de Manutenção (MGM) e no Manual Geral de Operações (MGO) estão sendo cumpridos conforme aprovação do órgão regulador.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
45573;A-626/CENIPA/2014 – 002;2015-05-15;2015-05-26;2015-08-24;Divulgar às empresas de táxi-aéreo os ensinamentos colhidos nesta ocorrência, enfatizando a importância do cumprimento dos procedimentos estabelecidos em seus manuais, bem como o fiel cumprimento de todos os passos contidos no cheklist durante todas as fases de operação da aeronave.;CUMPRIDA DE FORMA ALTERNATIVA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
45580;IG-503/CENIPA/2018 - 01;2018-07-27;2018-07-27;NULL;Atuar junto à Diretoria de Portos e Costas (DPC) da Marinha do Brasil, a fim de que aquela autoridade analise a pertinência de atualizar a NORMAM 27, visando clarificar o correto posicionamento da aeronave na Área de Toque e definir a que distância do helideque os obstáculos deverão receber um esquema de pintura ou outro dispositivo para ressaltá-los.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
45580;IG-503/CENIPA/2018 - 02;2018-07-27;2018-07-27;NULL;Atuar junto à Diretoria de Portos e Costas (DPC) da Marinha do Brasil, a fim de que aquela autoridade analise a pertinência de atualizar a NORMAM 27, de modo a permitir a realização de estudo aeronáutico que vise o deslocamento do centro da área de toque de um helideque específico, quando seu operador julgar necessário, com a finalidade de aumentar a distância entre a área de toque e os obstáculos próximos.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
45580;IG-503/CENIPA/2018 - 03;2018-07-27;2018-07-27;NULL;Atuar junto ao proprietário do navio Lochnagar, a fim de que aquele operador de aeródromo adapte o helideque instalado na embarcação ao constante na NORMAM 27 mais atualizada.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
45580;IG-503/CENIPA/2018 - 04;2018-07-27;2018-07-27;NULL;Atuar junto a BHS Brazilian Helicopter Services Taxi Aéreo S.A., a fim de que aquele operador reavalie a adequabilidade de seus Manuais de Operação e de Gerenciamento de Segurança Operacional, sobretudo no que diz respeito aos procedimentos e cuidados necessários para a operação segura em helideques instalados em embarcações ou em plataformas marítimas.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
45588;A-009/CENIPA/2013 – RSV 001;2013-12-12;2014-02-12;2014-07-16;Reforçar  junto  aos  operadores  estrangeiros  que  operam segundo  o  RBAC  129,  da obrigação  de  se  comunicar  à  Autoridade  de  Investigação  Brasileira  (CENIPA),  de  toda  e   qualquer  ocorrência aeronáutica  em  espaço  aéreo  brasileiro  que  se  caracterize  como incidente, incidente grave ou acidente aeronáutico;CUMPRIDA DE FORMA ALTERNATIVA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
45588;A-009/CENIPA/2013 – RSV 002;2013-12-12;2014-02-12;2014-07-16;Estudar  a  possibilidade  de  inserir  como  requisito  no  RBAC  129  a  obrigatoriedade  de   comunicação  oficial  dos operadores  estrangeiros  à  a  utoridade  de  investigação brasileira (CENIPA),  de  toda  e  qualquer  ocorrência  aeronáutica   em  espaço  aéreo  brasileiro  que  se  caracterize como incidente, incidente grave ou acidente aeronáutico.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
45588;A-009/CENIPA/2013 – RSV 003;2013-12-12;2014-02-12;2014-05-28;Divulgar  o  conteúdo  do  presente  relatório  para  os  operadores  brasileiros  regulados  pelo RBAC 121.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
45588;A-009/CENIPA/2013 – RSV 004;2013-12-12;2014-02-12;2014-05-27;Divulgar, oficialmente, o conteúdo do presente relatório para a IBERIA Linhas Aéreas.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
45596;A-040/CENIPA/2013-RSV001;2013-11-30;2013-12-17;2014-07-18;Divulgar os ensinamentos colhidos da presente investigação, no âmbito das escolas de formação de pilotos da aviação civil, incluindo os aeroclubes, buscando alertar os alunos sobre a necessidade do respeito aos limites operacionais das aeronaves, particularmente, relacionados com a utilização da Velocidade Máxima de Manobra (VA) durante o sobrevoo de regiões sob o efeito de turbulência.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
45596;A-040/CENIPA/2013-RSV002;2013-11-30;2013-12-17;2014-03-19;Divulgar os ensinamentos colhidos da presente investigação, no âmbito dos pilotos que atuam na Aviação Geral, por intermédio da Associação Brasileira de Aviação Geral - ABAG, com o destaque para a fiel observância dos limites operacionais das aeronaves, dos aspectos meteorológicos e das regulamentações aeronáuticas em vigor, com vistas ao sucesso do planejamento dos voos, o que trará suporte para mais adequados processos decisórios, minimizando a possibilidade de que eventos dessa natureza se repitam.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
45597;A-016/CENIPA/2013-RSV 001;2013-07-10;2013-07-18;2014-07-30;Na revisão do RBHA 91, SUBPARTE K - OPERAÇÕES AÉREAS DE SEGURANÇA PÚBLICA E/OU DE DEFESA CIVIL, acrescentar requisitos mínimos operacionais semelhantes aos exigidos para as empresas de Táxi-Aéreo, principalmente aqueles relativos à implementação do SGSO, obrigatoriedade de MGO e outros, a fim de tornar esse tipo de operação mais segura.;CUMPRIDA DE FORMA ALTERNATIVA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
45597;A-016/CENIPA/2013-RSV 002;2013-07-10;2013-07-18;2013-08-08;Divulgar o conteúdo do presente relatório durante a realização de seminários, palestras e atividades afins voltadas aos operadores regidos de acordo com o RBHA 91, SUBPARTE K.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
45618;A-163/CENIPA/2013-001;2014-08-15;2015-05-26;2015-11-12;Tendo em vista os fatos observados e relatados neste relatório, realizar Auditoria de Segurança Operacional no Aeroclube de Blumenau.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
45651;A-593/CENIPA/2018 - 01;2021-08-19;2021-09-04;2021-09-29;Divulgar os ensinamentos colhidos na presente investigação, com o objetivo de alertar operadores e organizações de manutenção sobre importância de se verificar a correta execução dos serviços de manutenção realizados nas aeronaves.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
45751;A-017/CENIPA/2013-RSV001;2013-07-16;2013-08-12;2014-02-18;Incrementar a atividade de fiscalização do cumprimento dos requisitos constantes no RBAC 61, item 61.21 (experiência recente), por parte dos pilotos que operam segundo o RBHA 91. Considerar, para este fim, o Sistema eletrônico de Registro de Voo e CIV, além das atividades rotineiras dos Inspetores de Aviação Civil.;CUMPRIDA DE FORMA ALTERNATIVA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
45751;A-017/CENIPA/2013-RSV002;2013-07-16;2013-08-12;2013-10-07;Divulgar o conteúdo do presente relatório durante a realização de seminários, palestras e atividades afins voltadas aos proprietários, operadores, exploradores de aeronaves e aeroclubes.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
45752;289/D/12;2012-08-08;2012-09-06;2012-12-17;Realizar uma auditoria no Aeroclube de Bragança Paulista, visando verificar se sua operação está em conformidade com os requisitos aplicáveis.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
45752;290/D/12;2012-08-08;2012-09-06;2014-04-13;Atuar junto ao Aeroclube de Bragança Paulista, visando aperfeiçoar a supervisão de suas atividades, em especial no tocante à documentação das aeronaves.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
45752;291/D/12;2012-08-08;2012-09-06;2014-04-28;Atuar junto ao Aeroclube de Bragança Paulista, visando aperfeiçoar o processo de instrução de voo, a fim de garantir o acompanhamento adequado do desempenho dos alunos, bem como definir critérios mais claros de aprovação nos voos.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
45752;IG-101/CENIPA/2013 - 001;2015-02-09;2015-04-20;2016-04-05;Tendo em vista os fatos observados e relatados neste relatório, a repetição excessiva de ocorrências aeronáuticas envolvendo aeronaves do Aeroclube de Bragança Paulista, recomenda-se intensificar o nível de fiscalização sobre a qualidade da instrução ministrada.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
45756;IG-588/CENIPA/2018- 01;2019-04-08;2019-04-08;NULL;REALIZAR UMA AUDITORIA NA EMPRESA PEMA - PEREIRA MACHADO TáXI AéREO LTDA., COM O INTUITO DE ANALISAR E PROPOR MELHORIAS NOS PROCESSOS SISTEMATIZADOS QUE VISEM AO APRIMORAMENTO DO CONHECIMENTO, HABILIDADES E TREINAMENTO DE PILOTOS.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
45757;A-050/CENIPA/2014 - 001;2014-08-15;2014-09-16;2014-12-04;Divulgar o conteúdo do presente relatório durante a realização de seminários, palestras e atividades afins voltadas aos proprietários, operadores e exploradores de aeronaves.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
45757;A-050/CENIPA/2014 - 002;2014-08-15;2014-09-16;2014-11-24;Reavaliar o nível da fiscalização realizada utilizando o sistema DCERTA, de modo a impedir as violações verificadas nesta investigação e expostas neste relatório.;NÃO CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
45759;A-605/CENIPA/2014 - 01;2016-08-26;2016-10-06;2016-12-20;Avaliar a eficácia do sistema DECERTA no que diz respeito à aceitação de planos de voo sem que sejam atendidos os requisitos de habilitação de pilotos, bem como, as restrições para a realização de voos visuais noturnos para fora dos limites de terminais.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
45759;A-605/CENIPA/2014 - 02;2016-08-26;2016-08-30;NULL;Rever o processo de fabricação e montagem dos motores TIO-540-AJ1A, em busca de uma possível falha que possa concorrer para um erro de instalação dos componentes: P/N STD-1737 (ring external retaining), P/N 71664 (Gear Assy, Fuel pump idler), e P/N 70474 (Washer, fuel pump idler thrust).;AGUARDANDO RESPOSTA;LYCOMING;LYCOMING ENGINES
45785;I-535/CENIPA/2014 - RS 001;2014-06-12;2014-07-29;2015-09-22;Notificar o fabricante da aeronave sobre o conteúdo da investigação do incidente e para que o mesmo certifique-se que os ganchos fornecidos estão em conformidade com a especificação do projeto.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
45785;I-535/CENIPA/2014 - RS 002;2014-06-12;2014-07-29;NULL;Reavaliar a validação de certificação da aeronave para transporte de carga externa tendo em vista o Laudo Técnico nº 024/AMR/2012, elaborado pelo Departamento de Ciência e Tecnologia Aeroespacial (DCTA), o qual indicou uma utilização de material inadequado na articulação do gancho de carga existente na aeronave de modelo MI-171A envolvida na ocorrência aeronáutica em questão, adquirida pela empresa Atlas Táxi-Aéreo.;AGUARDANDO RESPOSTA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
45785;I-535/CENIPA/2014 - RS 003;2014-06-12;2014-07-29;2015-01-29;Reavaliar as condições de operação padronizadas com carga externa utilizadas pela empresa Atlas Táxi-Aéreo.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
45799;A-107/CENIPA/2013 - RSV 001;2014-08-15;2014-09-17;2015-03-27;Tendo em vista os fatos observados e relatados neste relatório, realizar Auditoria de Segurança Operacional no operador da aeronave e na oficina mantenedora da aeronave acidentada.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
45819;A-061/CENIPA/2013 – 01;2016-03-04;2016-04-14;NULL;Prover recursos humanos, financeiros e materiais exclusivamente dedicados à estruturação de uma unidade aérea dentro do sistema organizacional da Polícia Civil, compondo-a, minimamente, com as seções de Manutenção, Apoio de Solo, Operações, Instrução e Segurança de Voo.;AGUARDANDO RESPOSTA;SSP-GO;SECRETÁRIA DE SEGURANÇA PÚBLICA DO ESTADO DE GOIÁS
45819;A-061/CENIPA/2013 – 02;2016-03-04;2016-04-14;NULL;Implementar um programa de treinamento nas unidades aéreas de segurança pública, contemplando a formação inicial e o treinamento regular, de forma a manter a proficiência dos tripulantes.;AGUARDANDO RESPOSTA;SSP-GO;SECRETÁRIA DE SEGURANÇA PÚBLICA DO ESTADO DE GOIÁS
45820;A-507/CENIPA/2015 – 001;2015-09-14;2015-12-07;2016-01-06;Divulgar o conteúdo do presente relatório durante a realização de seminários, palestras e atividades afins voltadas aos proprietários, operadores e exploradores de aeronaves da aviação geral e da aviação de instrução.;CUMPRIDA DE FORMA ALTERNATIVA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
45820;A-507/CENIPA/2015 – 002;2015-09-14;2015-12-07;2016-03-16;Atuar junto ao Aeroclube de Itanhaém, visando implantar uma política de segurança de voo/operacional, a fim de que seus instrutores, sócios e alunos passem a adotar uma atitude conservativa nas atividades aéreas quando as condições meteorológicas apresentaram-se desfavoráveis.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
45820;A-507/CENIPA/2015 – 003;2015-09-14;2015-12-07;2016-03-16;Atuar junto ao Aeroclube de Itanhaém, para garantir que este passe a incrementar o processo de acompanhamento dos voos de instrução, por parte do instrutor chefe ou o encarregado de operações de voo, a fim de assegurar-se que seus instrutores sigam as orientações da legislação em vigor no tocante ao planejamento dos voos.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
45821;A-172/CENIPA/2013 - RSV 001;2013-12-30;2014-02-12;2014-05-28;Adotar procedimentos para divulgação deste relatório aos operadores de aeronaves de categoria privada (TPP), alertando quanto aos riscos relativos a inobservância das altitudes mínimas para o sobrevoo de áreas urbanas.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
45821;A-172/CENIPA/2013 - RSV 002;2013-12-30;2014-02-12;2015-01-29;Incrementar os mecanismos de fiscalização em eventos de grande monta de modo a coibir operações de aeronaves a margem dos regulamentos aeronáuticos em vigor e que colocam em risco a vida de terceiros.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
45857;A-596/CENIPA/2018-01;2019-04-08;2019-04-08;NULL;DIVULGAR OS ENSINAMENTOS COLHIDOS NA PRESENTE Investigação, A FIM DE ALERTAR PILOTOS E OPERADORES DA AVIAÇÃO DE ASAS ROTATIVAS SOBRE OS RISCOS INERENTES AOS TREINAMENTOS DE AUTORROTAÇÃO.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
